Orthography,Klattese
curio,kyUrio
curiosity,kyUrias|ti
curious,kyUrixs
curiously,kyUri|sli
curl,kRl
curlew,kRlu
curlicue,kRlikyu
currant,kRxnt
currency,kRxnsi
curriculum,kXIkyUlxm
curry,kRi
curse,kRs
cursive,kRsIv
cursory,kRsXi
curt,kRt
curtail,kRtel
curtain,kRtN
curtsey,kRtsi
curvature,kRvxCUr
curve,kRv
curvet,kRvEt
cushion,kUS|n
cusp,k^sp
cuspidor,k^spxdor
custard,k^stXd
custodian,k^stodixn
custody,k^st|di
custom,k^stxm
customarily,k^stxmErxli
customary,k^stxmEri
customer,k^stxmX
customhouse,k^stxmhWs
cut,k^t
cutaneous,kyUtenixs
cutback,k^tb@k
cute,kyut
cuticle,kyutIkL
cutlass,k^tlxs
cutlery,k^tlXi
cutlet,k^tlxt
cutter,k^tX
cutthroat,k^tTrot
cutting,k^tIG
cuttlefish,k^tLfIS
cutup,k^t^p
cutworm,k^twRm
cyanide,sY|nYd
cyclamen,sYklxmxn
cycle,sYkL
cyclic,sYklIk
cyclist,sYkLxst
cyclometer,sYklamxtX
cyclone,sYklon
cyclonic,sYklanIk
cyclopaedia,sYklxpidix
cyclotron,sYkl|tran
cygnet,sIgn|t
cylinder,sIl|ndX
cylindrical,sxlIndrIkL
cymbal,sImbL
cynic,sInIk
cynicism,sIn|sIzM
cynosure,sYnxSUr
cypress,sYpr|s
cyst,sIst
cystic,sIstIk
czar,zar
czarina,zarinx
d,di
dab,d@b
dabble,d@bL
dace,des
dacha,daCx
dachshund,dakshUnt
dactyl,d@ktL
dactylic,d@ktIlIk
dad,d@d
daddy,d@di
daemon,dimxn
daffodil,d@f|dIl
daft,d@ft
dagger,d@gX
daguerreotype,dxgErixtYp
dahlia,d@lyx
daily,deli
dainty,denti
daiquiri,dYkXi
dairy,dEri
dais,dexs
daisy,dezi
dale,del
dally,d@li
dalmatian,d@lmeS|n
dam,d@m
damage,d@mIJ
damascene,d@mxsin
damask,d@mxsk
dame,dem
damnable,d@mnxbL
damnation,d@mneS|n
damned,d@md
damp,d@mp
dampen,d@mpxn
damsel,d@mzL
damson,d@mz|n
dance,d@ns
dandelion,d@ndxlY|n
dander,d@ndX
dandify,d@ndIfY
dandle,d@ndL
dandruff,d@ndrxf
dandy,d@ndi
Dane,den
danger,denJX
dangerous,denJX|s
dangle,d@GgL
Danish,denIS
dank,d@Gk
dapper,d@pX
dapple,d@pL
dare,dEr
daring,d@rIG
dark,dark
darken,dark|n
darkling,darklIG
darkroom,darkrum
darksome,darksxm
darling,darlIG
darn,darn
darnel,darnL
dart,dart
dash,d@S
dastard,d@stXd
data,detx
date,det
dateline,detlYn
dative,detIv
datum,detM
daub,dcb
daughter,dctX
daunt,dcnt
dauphin,dcfxn
davenport,d@vxnport
davit,devxt
dawdle,dcdL
dawdler,dcdlX
dawn,dcn
day,de
daytime,detYm
daze,dez
dazzle,d@zL
DDT,diditi
deacon,dik|n
deactivate,di@kt|vet
dead,dEd
deaden,dEdN
deadline,dEdlYn
deadlock,dEdlak
deadweight,dEdwet
deaf,dEf
deafen,dEfxn
deal,dil
dealer,dilX
dealing,dilIG
dealt,dElt
dean,din
dear,dIr
dearth,dRT
death,dET
deathwatch,dETwaC
deb,dEb
debacle,dIbakL
debar,dIbar
debarkation,dibarkeS|n
debase,dIbes
debilitate,dIbIl|tet
debit,dEbxt
debonair,dEb|nEr
debouch,dIbuS
debrief,dIbrif
debris,dxbri
debt,dEt
debunk,dib^Gk
debut,debyu
debutante,dEbyUtant
decade,dEked
decadence,dEk|d|ns
decal,dik@l
decalcomania,dIk@lkxmenix
decalogue,dEkxlcg
decamp,dIk@mp
decapitate,dIk@pxtet
decasyllabic,dEkxsxl@bIk
decathlon,dIk@Tlan
decay,dxke
deceive,dIsiv
decelerate,disElXet
December,dIsEmbX
decency,disNsi
decent,disNt
decentralization,disEntrL|zeS|n
deception,dIsEpS|n
decibel,dEsxbEl
decide,dIsYd
deciduous,dIsIJUxs
decimal,dEsML
decimate,dEsxmet
decipher,dIsYfX
decision,dIsIZ|n
deck,dEk
declaim,dIklem
declamation,dEklxmeS|n
declamatory,dIkl@mxtori
declaration,dEklXeS|n
declarative,dIkl@rxtIv
declaratory,dIkl@rxtori
declare,dxklEr
declassify,dikl@sxfY
declension,dIklEnC|n
declination,dEkl|neS|n
decline,dxklYn
declivity,dIklIvxti
decode,dikod
decollete,dekalxte
decommission,dikxmIS|n
decompose,dikxmpoz
decomposition,dIkampxzIS|n
decompress,dikxmprEs
decontaminate,dik|nt@mxnet
decor,dekor
decorate,dEkXet
decoration,dEkXeS|n
decorative,dEkX|tIv
decorator,dEkXetX
decorous,dEkXxs
decorum,dIkorM
decoy,dikO
decrease,dikris
decree,dxkri
decrepit,dIkrEpxt
decry,dIkrY
dedicate,dEdIk|t
dedication,dEdIkeS|n
dedicatory,dEdIk|tori
deduce,dIdus
deed,did
deem,dim
deep,dip
deface,dIfes
defalcation,dif@lkeS|n
defamation,dEfxmeS|n
defamatory,dIf@mxtori
defame,dIfem
default,dIfclt
defeat,dxfit
defect,difEkt
defective,dIfEktIv
defend,dxfEnd
defense,dxfEns
deference,dEfXxns
deferential,dEfXEnCL
deferment,dIfRmxnt
deficient,dIfIS|nt
deficit,dEfxs|t
defile,dIfYl
define,dIfYn
definite,dEfxn|t
definition,dEfxnIS|n
definitive,dIfIn|tIv
deflate,dIflet
deform,dIform
deformation,diformeS|n
deformity,dIformxti
deft,dEft
defunct,dIf^Gkt
defy,dIfY
degradation,dEgrxdeS|n
degrade,dIgred
degree,dxgri
dehorn,dihorn
dehumanize,dihyumxnYz
dehumidify,dihyumIdxfY
dehydrate,dihYdret
dehydration,dihYdreS|n
deice,diYs
deification,dixfxkeS|n
deify,dixfY
deism,diIzM
deistic,diIstIk
deity,dixti
dejected,dIJEkt|d
delay,dxle
dele,dili
delectable,dxlEktxbL
delectation,dilEkteS|n
delegate,dElxget
delegation,dElIgeS|n
delete,dxlit
deleterious,dEl|tIrixs
delft,dElft
deliberate,dxlIbXet
delicacy,dElIk|si
delicatessen,dElIkEtEsN
delicious,dxlIS|s
delimit,dxlImxt
delineate,dxlIniet
delinquency,dxlIGkwxnsi
deliquesce,dElIkwEs
delirium,dxlIrixm
deliver,dxlIvX
dell,dEl
delouse,dilWs
delphinium,dElfInixm
delta,dEltx
delude,dxlud
deluge,dElyuJ
delusion,dxluZ|n
deluxe,dxl^ks
delve,dElv
demagnetize,dim@gn|tYz
demagog,dEmxgag
demand,dxm@nd
demarcate,dImarket
demarcation,dimarkeS|n
demarche,demarS
demean,dImin
demeanor,dIminX
demented,dImEnt|d
demerit,dImErxt
demesne,dImen
demigod,dEmigad
demilitarize,dImIl|tXYz
demimondaine,dEmimanden
demimonde,dEmimand
demise,dxmYz
demitasse,dEmit@s
demobilize,dxmobxlYz
democracy,dxmakr|si
democrat,dEmxkr@t
democratic,dEmxkr@tIk
democratize,dxmakrxtYz
demographic,dEmxgr@f|k
demography,dxmagrxfi
demoiselle,dEmwxzEl
demolish,dxmalIS
demolition,dEmxlIS|n
demonetize,dimanxtYz
demoniac,dImoni@k
demoniacal,dEmxnYxkL
demonology,dimxnalxJi
demonstrable,dxmanstrxbL
demonstrate,dEmxnstret
demonstration,dEmxnstreS|n
demonstrative,dxmanstrxtIv
demonstrator,dEmxnstretX
demoralize,dxmcrxlYz
den,dEn
denature,dineCX
dengue,dEGgi
denial,dInYL
denier,dInYX
denigrate,dEnIgret
denim,dEnM
denizen,dEn|z|n
denominate,dInamxnet
denotation,dinoteS|n
denote,dInot
denounce,dInWns
dense,dEns
density,dEns|ti
dent,dEnt
dental,dEntL
dentate,dEntet
dentifrice,dEnt|fr|s
dentist,dEnt|st
dentition,dEntIS|n
denture,dEnCX
denudation,dinudeS|n
denude,dInud
denunciation,dIn^nsieS|n
deny,dInY
deodorant,diodXxnt
depart,dxpart
departmental,dxpartmEntL
departure,dxparCX
depend,dxpEnd
depict,dIpIkt
deplane,dIplen
deplete,dIplit
depopulate,dipapyUlet
deport,dIport
deportation,dIporteS|n
deportment,dIportmxnt
deposition,dEpxzIS|n
depository,dIpaz|tori
deprave,dIprev
deprecate,dEprIket
deprecation,dEprIkeS|n
deprecatory,dEprIk|tori
depreciate,dIpriSiet
depredation,dEprxdeS|n
depress,dIprEs
deprivation,dEprxveS|n
deprive,dIprYv
depth,dEpT
deputation,dEpyUteS|n
depute,dIpyut
deputize,dEpyUtYz
deputy,dEpyuti
derail,dIrel
derange,dIrenJ
derby,dRbi
derelict,dErxlIkt
dereliction,dErxlIkS|n
deride,dIrYd
derivation,dErxveS|n
derivative,dIrIvxtIv
derive,dXYv
dermatitis,dRmxtYt|s
derogate,dErxget
derogation,dErxgeS|n
derogatory,dIrag|tori
derrick,dErIk
derriere,dEriEr
derringer,dErxnJX
derris,dErxs
dervish,dRvIS
descant,dEsk@nt
descend,dIsEnd
descent,dIsEnt
desecrate,dEsIkret
desecration,dEsIkreS|n
desegregate,dIsEgrIget
desert,d|zRt
deserve,dIzRv
desiccant,dEsIk|nt
desiccate,dEsIket
desiccation,dEsIkeS|n
desideratum,dIsIdXatM
design,dIzYn
designate,dEzIgnet
designation,dEzIgneS|n
designing,dIzYnIG
desirous,dIzYr|s
desk,dEsk
desolate,dEsL|t
desolation,dEsxleS|n
despair,dIspEr
desperado,dEspXado
desperate,dEspXxt
desperation,dEspXeS|n
despicable,dIspIkxbL
despise,dIspYz
despond,dIspand
despot,dEspxt
despotic,dEspatIk
despotism,dEspxtIzM
dessert,dIzRt
destination,dEst|neS|n
destine,dEst|n
destiny,dEst|ni
destitute,dEst|tut
destitution,dEst|tuS|n
destroy,dIstrO
destructible,dIstr^ktxbL
desuetude,dEswItud
desultory,dEsLtori
detach,dIt@C
detachment,dIt@Cmxnt
detail,ditel
detain,dIten
detective,dItEktIv
detente,detant
detention,dItEnC|n
determinable,dItRmxnxbL
determination,dItRmxneS|n
determine,dItRmxn
deterrence,dItRxns
detest,dItEst
detestation,ditEsteS|n
dethrone,dITron
detonate,dEtNet
detonation,dEtNeS|n
detour,ditUr
detract,dItr@kt
detrain,ditren
detriment,dEtrxmxnt
detrimental,dEtrxmEntL
detritus,dItrYt|s
deuce,dus
deuterium,dutIrixm
devalue,div@lyu
devastate,dEvxstet
devastation,dEvxsteS|n
develop,dxvElxp
deviant,divixnt
deviate,diviet
deviation,divieS|n
device,dxvYs
devil,dEvL
devilment,dEvLmxnt
devious,divixs
devise,dxvYz
devitalize,divYtxlYz
devoid,dxvOd
devoir,dxvwar
devolution,dEvxluS|n
devolve,dIvalv
devote,dxvot
devotee,dEvxti
devotion,dxvoS|n
devour,dxvWr
dew,du
dewberry,dubEri
dexterity,dEkstErxti
dexterous,dEkstX|s
dextrose,dEkstros
dhow,dW
diabetes,dYxbitiz
diadem,dYxdEm
diaeresis,dYErxs|s
diagnose,dYIgnos
diagnosis,dYIgnos|s
diagnostic,dYIgnastIk
diagonal,dY@g|nL
diagram,dYxgr@m
diagrammatic,dYxgrxm@tIk
dial,dYl
dialect,dYxlEkt
dialectic,dYxlEktIk
dialog,dYxlcg
diameter,dY@mxtX
diametrically,dYxmEtrIkLi
diamond,dYmxnd
diapason,dYxpezN
diaper,dYpX
diaphanous,dY@fxn|s
diaphragm,dYxfr@m
diaphragmatic,dYxfr@gm@tIk
diarist,dYXxst
diarrhoea,dYXix
diary,dYri
diastole,dY@stxli
diathermy,dYxTXmi
diatribe,dYxtrYb
dibble,dIbL
dice,dYs
dichotomy,dYkatxmi
dicker,dIkX
dicky,dIki
dicotyledon,dYkatxlidN
dictate,dIktet
dictation,dIkteS|n
dictator,dIktetX
dictatorial,dIkt|toriL
dictatorship,dIktetXSIp
diction,dIkS|n
dictionary,dIkS|nEri
dictum,dIktxm
did,dId
didactic,dYd@ktIk
dido,dYdo
die,dY
dielectric,dYxlEktrIk
dies,dYz
diet,dYxt
dietary,dYxtEri
dietetics,dYxtEtIks
differ,dIfX
difference,dIfXxns
differential,dIfXEnCL
difficult,dIfIk^lt
diffident,dIf|d|nt
diffuse,dIfyus
dig,dIg
digest,dYJEst
digit,dIJ|t
digitalis,dIJ|t@lxs
dignified,dIgnxfYd
dignity,dIgn|ti
digraph,dYgr@f
digress,dYgrEs
dike,dYk
dilapidated,dxl@pxdet|d
dilatation,dIl|teS|n
dilate,dYlet
dilation,dYleS|n
dilatory,dIl|tori
dilemma,dxlEmx
dilettante,dIl|tant
diligent,dIlxJ|nt
dill,dIl
dillydally,dIlid@li
dilute,dYlut
dim,dIm
dime,dYm
dimension,dxmEnC|n
diminish,dxmInIS
diminution,dImxnuS|n
diminutive,dxmInyutIv
dimity,dImxti
dimmer,dImX
dimple,dImpL
din,dIn
dinar,dInar
dine,dYn
diner,dYnX
dinette,dYnEt
dinghy,dIGi
dingle,dIGgL
dingus,dIGg|s
dingy,dInJi
dinky,dIGki
dinner,dInX
dinosaur,dYn|sor
dint,dInt
diocesan,dYas|s|n
diocese,dYxs|s
dip,dIp
diphtheria,dIfTIrix
diphthong,dIfTcG
diploma,dxplomx
diplomat,dIplxm@t
diplomatic,dIplxm@tIk
diplomatist,dxplomxt|st
dipper,dIpX
dipstick,dIpstIk
dipterous,dIptxrxs
dire,dYr
direct,dXEkt
direful,dYrfL
dirge,dRJ
dirham,dxr@m
dirigible,dRxJ|bL
dirk,dRk
dirndl,dRndL
dirt,dRt
disability,dIsxbIl|ti
disable,dIsebL
disabuse,dIsxbyuz
disadvantage,dIs|dv@ntIJ
disadvantageous,dIs@dv@nteJ|s
disaffect,dIsxfEkt
disagree,dIsxgri
disallow,dIsxlW
disapprobation,dIs@prxbeS|n
disapproval,dIsxpruvL
disarm,dIsarm
disarrange,dIsXenJ
disassemble,dIs|sEmbL
disaster,dIz@stX
disavow,dIsxvW
disband,dIsb@nd
disbelieve,dIsbxliv
disburden,dIsbRdN
disburse,dIsbRs
disc,dIsk
discard,dIskard
discern,dIsRn
discharge,dIsCarJ
disciple,dIsYpL
disciplinarian,dIsxpl|nErixn
disciplinary,dIsxpl|nEri
discipline,dIsxpl|n
disclaim,dIsklem
discombobulate,dIskxmbabyUlet
discomfit,dIsk^mfxt
discomfiture,dIsk^mfxCUr
discomfort,dIsk^mfXt
discommode,dIskxmod
disconsolate,dIskansL|t
discontent,dIsk|ntEnt
discontinuity,dIskantNu|ti
discontinuous,dIsk|ntInyuxs
discord,dIskord
discordant,dIskordNt
discount,dIskWnt
discountenance,dIskWntNxns
discourage,dIskRIJ
discourse,dIskors
discourteous,dIskRtixs
discover,dIsk^vX
diseuse,dizRz
disfavor,dIsfevX
disgruntle,dIsgr^ntL
disgust,dIsg^st
dish,dIS
disharmony,dIsharmxni
dishcloth,dISklcT
dishearten,dIshartN
dishevel,dISEvL
dishonest,dIsan|st
dishrag,dISr@g
disillusion,dIsxluZ|n
disinclination,dIsInkl|neS|n
disincline,dIsNklYn
disintegrate,dIsInt|gret
disinter,dIsNtR
disinterested,dIsIntxrxst|d
dislike,dIslYk
dislocate,dIsloket
dislocation,dIslokeS|n
dislodge,dIslaJ
dismal,dIzmL
dismantle,dIsm@ntL
disobedience,dIsxbidixns
disorder,dIsordX
disorganize,dIsorg|nYz
disown,dIson
disparate,dIsp@rxt
disparity,dIsp@rxti
dispassionate,dIsp@S|n|t
dispatch,dIsp@C
dispel,dIspEl
dispensation,dIspxnseS|n
dispense,dIspEns
display,dIsple
displease,dIspliz
disport,dIsport
disposal,dIspozL
disposition,dIspxzIS|n
dispossess,dIspxzEs
dispraise,dIsprez
disproportion,dIsprxporS|n
disprove,dIspruv
disputable,dIspyutxbL
disputant,dIspyutNt
disputation,dIspyuteS|n
dispute,dIspyut
disputer,dIspyutX
disqualify,dIskwalxfY
disquiet,dIskwYxt
disquietude,dIskwYxtud
disquisition,dIskwxzIS|n
disregard,dIsrIgard
disrepair,dIsrIpEr
disreputable,dIsrEpyutxbL
disrepute,dIsrIpyut
disrobe,dIsrob
dissatisfaction,dIss@t|sf@kS|n
dissatisfy,dIss@t|sfY
dissect,dIsEkt
dissemble,dIsEmbL
disseminate,dIsEmxnet
dissension,dIsEnC|n
dissertation,dIsXteS|n
disservice,dIssRvxs
dissever,dIsEvX
dissident,dIs|d|nt
dissimilar,dIssImLX
dissimulate,dIsImyUlet
dissipate,dIsxpet
dissipation,dIsxpeS|n
dissociate,dIsosiet
dissolute,dIsxlut
dissolution,dIsxluS|n
dissolve,dIzalv
dissonance,dIs|n|ns
dissuade,dIswed
distaff,dIst@f
distance,dIst|ns
distaste,dIstest
distich,dIstIk
distil,dIstIl
distillation,dIst|leS|n
distinct,dIstIGt
distort,dIstort
distrait,dIstre
distraught,dIstrct
distress,dIstrEs
distribute,dIstrIbyut
distribution,dIstr|byuS|n
distributor,dIstrIbyutX
district,dIstrIkt
distrust,dIstr^st
disturb,dIstRb
disunite,dIsyunYt
disunity,dIsyun|ti
ditch,dIC
dither,dIDX
ditto,dIto
ditty,dIti
diuretic,dYyUrEtIk
diurnal,dYRnL
diva,divx
divagate,dYvxget
divagation,dYvxgeS|n
divan,dYv@n
dive,dYv
diverge,dxvRJ
divers,dYvXz
diverse,dYvRs
diversify,dxvRsxfY
divest,dYvEst
divide,dxvYd
dividend,dIvxdEnd
dividers,dxvYdXz
divination,dIvxneS|n
divine,dxvYn
divinity,dxvIn|ti
divisible,dxvIz|bL
division,dxvIZ|n
divisive,dxvYsIv
divisor,dxvYzX
divorce,dxvors
divot,dIvxt
divulge,dxv^lJ
dizzy,dIzi
dobbin,dabxn
docent,dosNt
docile,dasL
docility,dasIl|ti
dock,dak
docket,dak|t
dockhand,dakh@nd
dockyard,dakyard
doctor,daktX
doctorate,daktXxt
doctrinaire,daktrxnEr
doctrine,daktrxn
document,dakyUmxnt
documentary,dakyUmEntXi
documentation,dakyUmxnteS|n
dodder,dadX
dodge,daJ
dodo,dodo
doe,do
does,d^z
doff,daf
dog,dcg
doge,doJ
dogged,dcgxd
doghouse,dcghWs
dogma,dcgmx
dogmatic,dcgm@tIk
dogtrot,dcgtrat
doily,dOli
doing,duIG
doings,duIGz
doldrums,doldrxmz
dole,dol
doll,dal
dollar,dalX
dollop,dalxp
dolly,dali
dolmen,dolmxn
dolor,dolX
dolphin,dclfxn
dolt,dolt
domain,domen
dome,dom
domestic,dxmEstIk
domesticate,dxmEstIket
domesticity,domEstIs|ti
domicile,damxsYl
domiciliary,damxsIli
dominance,damxn|ns
domination,damxneS|n
domineer,damxnIr
dominie,damxni
dominion,dxmInyxn
don,dan
dona,donyx
donate,donet
donation,doneS|n
done,d^n
donkey,dcGki
donnybrook,danibrUk
donor,donX
doodad,dud@d
doodle,dudL
doom,dum
doomsday,dumzde
door,doX
dope,dop
dorm,dorm
dormant,dormxnt
dormitory,dormxtori
dormouse,dormWs
dorsal,dorsL
dory,dori
dosage,dosIJ
dose,dos
dossier,dcsye
dot,dat
dotage,dotIJ
dote,dot
dottle,datL
double,d^bL
doubleheader,d^bLhEdX
doublet,d^bl|t
doubloon,d^blun
doubly,d^bLi
doubt,dWt
douche,duS
doughty,dWti
dour,dWr
dove,dov
dovetail,d^vtel
dowager,dWIJX
dowdy,dWdi
dowel,dWL
dower,dWX
down,dWn
downbeat,dWnbit
downcast,dWnk@st
downstage,dWnsteJ
downtown,dWntWn
downwind,dWnwInd
downy,dWni
dowry,dWri
dowse,dWz
doxology,daksalxJi
doze,doz
dozen,d^zN
drab,dr@b
drachma,dr@kmx
draft,dr@ft
draftee,dr@fti
draftsman,dr@ftsmxn
drag,dr@g
dragoman,dr@gxmxn
dragon,dr@g|n
dragoon,drxgun
drain,dren
drake,drek
dram,dr@m
drama,dramx
dramatic,drxm@tIk
dramatist,dramxt|st
dramatization,dramxtxzeS|n
dramatize,dramxtYz
drank,dr@Gk
drape,drep
draper,drepX
drastic,dr@stIk
draughts,dr@fts
draw,drc
drawer,dror
drawl,drcl
drawn,drcn
drawstring,drcstrIG
dray,dre
dread,drEd
dream,drim
dreamed,drimd
dreamer,drimX
dreaming,drimIG
dreamt,drEmt
drear,drIr
dreary,drIri
dredge,drEJ
dregs,drEgz
drench,drEnC
dress,drEs
dressage,drxsaZ
dresser,drEsX
drew,dru
dribble,drIbL
driblet,drIbl|t
drift,drIft
drill,drIl
drink,drIGk
drip,drIp
drive,drYv
drivel,drIvL
driven,drIvxn
driver,drYvX
driveway,drYvwe
driving,drYvIG
drizzle,drIzL
drogue,drog
droll,drol
drolly,droli
dromedary,dramxdEri
drone,dron
drool,drul
droop,drup
drop,drap
dropkick,drapkIk
dropsy,drapsi
dross,dras
drouth,drWT
drove,drov
drover,drovX
drown,drWn
drowse,drWz
drowsy,drWzi
drub,dr^b
drudge,dr^J
drug,dr^g
druid,dru|d
drum,dr^m
drumbeat,dr^mbit
drumstick,dr^mstIk
drunk,dr^Gk
dry,drY
dryad,drYxd
dryer,drYX
dual,duL
duality,du@l|ti
dub,d^b
dubbin,d^bxn
dubious,dubixs
ducal,dukL
ducat,d^kxt
duchess,d^C|s
duchy,d^Ci
duck,d^k
duct,d^kt
ductile,d^ktL
ductility,d^ktIl|ti
dud,d^d
dude,dud
dudgeon,d^J|n
duenna,duEnx
duet,duEt
duffer,d^fX
dug,d^g
dugout,d^gWt
duke,duk
dulcet,d^ls|t
dulcimer,d^lsxmX
dull,d^l
dullard,d^lXd
dully,d^li
duly,duli
duma,dumx
dumb,d^m
dumbbell,d^mbEl
dumbwaiter,d^mwetX
dumdum,d^md^m
dumfound,d^mfWnd
dummy,d^mi
dump,d^mp
dumps,d^mps
dumpy,d^mpi
dunce,d^ns
dunderhead,d^ndXhEd
dune,dun
dung,d^G
dungaree,d^GgXi
dungeon,d^nJ|n
dunghill,d^GhIl
dunk,d^Gk
duo,duo
duodenum,duadNM
dupe,dup
duplex,duplEks
duplicate,duplIk|t
duplication,duplIkeS|n
duplicator,duplIketX
duplicity,duplIs|ti
durability,dUrxbIl|ti
durable,dUrxbL
durance,dUrxns
duration,dUreS|n
duress,dUrEs
during,dUrIG
dusk,d^sk
dust,d^st
dustpan,d^stp@n
dutch,d^C
duteous,dutixs
dutiable,dutixbL
dutiful,dut|fL
duty,duti
dwarf,dworf
dwarves,dworvz
dwell,dwEl
dwelled,dwEld
dwelt,dwElt
dwindle,dwIndL
dybbuk,dIbxk
dynamic,dYn@mIk
dynamite,dYnxmYt
dynamo,dYnxmo
dynastic,dYn@stIk
dynasty,dYn|sti
dysentery,dIsNtEri
dyspepsia,dIspEpsix
dysprosium,dIsprozixm
e,i
each,iC
eager,igX
eagle,igL
eaglet,igl|t
ear,Ir
earl,Rl
earlobe,Irlob
early,Rli
earmark,Irmark
earn,Rn
earnest,Rn|st
earnings,RnIGz
earphone,Irfon
earring,IrrIG
earth,RT
earthen,RT|n
earthquake,RTkwek
earthy,RTi
ease,iz
easel,izL
east,ist
Easter,istX
eastern,istXn
easy,izi
easygoing,izigoIG
eat,it
eaten,itN
eaves,ivz
ebb,Eb
ebony,Eb|ni
ebullient,EbyUlxnt
ebullition,EbxlIS|n
eccentric,IksEntrIk
eccentricity,EksEntrIs|ti
ecclesiastic,Iklizi@stIk
echelon,ESxlan
echo,Eko
eclair,eklEr
eclat,ekla
eclectic,EklEktIk
eclipse,IklIps
ecliptic,IklIptIk
eclogue,Eklcg
ecologic,EkxlaJIk
ecologist,IkalxJ|st
ecology,IkalxJi
economic,Ek|namIk
economist,Ikanxm|st
economize,IkanxmYz
economy,Ikanxmi
ecstasy,Ekst|si
ecstatic,|kst@t|k
ecumenical,EkyUmEnIkL
eczema,Igzimx
eczematous,IgzEmxt|s
Edam,idxm
eddy,Edi
edelweiss,edLwYs
Eden,idN
edge,EJ
edibility,EdxbIl|ti
edible,EdxbL
edict,idIkt
ediface,Edxfxs
edification,EdxfxkeS|n
edify,EdxfY
edit,Ed|t
edition,IdIS|n
editorial,Ed|toriL
educable,EJ|kxbL
educate,EJ|ket
education,EJ|keS|n
educe,Idus
eel,il
eery,Iri
efface,Ifes
effect,IfEkt
effeminate,|fEmxn|t
effendi,EfEndi
efferent,EfXxnt
effervesce,EfXvEs
eglantine,EglxntYn
ego,igo
egocentric,igosEntrIk
egoism,igoIzM
egoistic,igoIst|k
egotism,ig|tIzM
egotistic,ig|tIstIk
egregious,IgriJ|s
egress,igrEs
egret,igrxt
Egyptian,xJIpS|n
eider,YdX
eidolon,Ydolxn
eighteen,etin
eighth,etT
eighty,eti
einsteinium,YnstYnixm
eisteddfod,YstEDvcd
either,iDX
ejaculate,IJ@kyUlet
eject,IJEkt
eke,ik
elaborate,xl@bXet
elapse,xl@ps
elastic,xl@stIk
elate,xlet
elbow,Elbo
elder,EldX
eldest,Eld|st
elect,xlEkt
election,xlEkS|n
electioneer,xlEkS|nIr
elective,xlEktIv
elector,xlEktX
electorate,xlEktX|t
electric,xlEktrIk
electrician,xlEktrIS|n
electricity,xlEktrIs|ti
electrify,xlEktrxfY
electrocute,xlEktrxkyut
electrode,xlEktrod
electrolysis,xlEktral|s|s
electrolyte,xlEktrxlYt
electromagnet,xlEktrom@gn|t
electron,xlEktran
electronic,xlEktranIk
electroplate,xlEktroplet
eleemosynary,ElImasNEri
elegance,ElIg|ns
elegiac,ElxJYxk
elegy,ElxJi
element,Elxmxnt
elemental,ElxmEntL
elementary,ElxmEntXi
elephant,Elxfxnt
elephantine,Elxf@ntin
elevate,Elxvet
elevation,ElxveS|n
elevator,ElxvetX
eleven,xlEvxn
elf,Elf
elfin,Elfxn
elicit,xlIs|t
eligibility,ElIJ|bIl|ti
eligible,ElIJ|bL
eliminate,xlImxnet
elision,xlIZ|n
elite,xlit
elixir,xlIksX
Elizabethan,xlIzxbiT|n
elk,Elk
ell,El
ellipse,xlIps
ellipsis,xlIps|s
elm,Elm
elocution,ElxkyuS|n
elongate,xlcGget
elope,xlop
eloquent,Elxkwxnt
else,Els
elucidate,xlusxdet
elusive,xlusIv
elver,ElvX
elves,Elvz
Elysium,IlIzixm
emaciate,ImeSiet
emanate,Emxnet
emanation,EmxneS|n
emancipate,Im@nsxpet
emasculate,Im@skyUlet
embalm,Imbam
embank,Imb@Gk
embankment,Imb@Gkmxnt
embargo,Imbargo
embark,Imbark
embarkation,EmbarkeS|n
embarrass,Imb@rxs
embassy,Embxsi
embattle,Imb@tL
ember,EmbX
embezzle,ImbEzL
emblem,Emblxm
emblematic,Emblxm@tIk
embody,Imbadi
embolic,EmbalIk
embolism,EmbxlIzM
emboss,Imbcs
embouchure,ambUSUr
embower,ImbWX
embrasure,ImbreZX
embrocate,Embrxket
embrocation,EmbrxkeS|n
embroider,ImbrOdX
embroil,ImbrOl
embryo,Embrio
embryology,EmbrialxJi
embryonic,EmbrianIk
emcee,Emsi
emend,ImEnd
emendation,ImEndeS|n
emerald,EmXLd
emerge,ImRJ
emergency,ImRJ|nsi
emeritus,ImErxt|s
emery,EmXi
emetic,ImEtIk
emigrate,Emxgret
emigration,EmxgreS|n
emigre,Emxgre
eminence,Emxn|ns
emir,ImIr
emissary,EmxsEri
emit,ImIt
emollient,Imalyxnt
emolument,Imalyxmxnt
emote,Imot
emotion,ImoS|n
empathic,Imp@TIk
empathy,EmpxTi
emperor,EmpXX
emphasis,Emfxs|s
emphatic,Imf@tIk
empire,EmpYr
empirical,ImpIrIkL
emplacement,Implesmxnt
employ,ImplO
employee,ImplOi
employer,ImplOX
employment,ImplOmxnt
emporium,Imporixm
empower,ImpWX
empress,Empr|s
empty,Empti
empyrean,EmpYrixn
emu,imyu
emulate,EmyUlet
emulation,EmyUleS|n
emulous,EmyUlxs
emulsifier,Im^lsxfYX
emulsion,Im^lS|n
enable,InebL
enamel,In@mL
enamor,In@mX
encamp,Ink@mp
encephalitis,EnsEfxlYt|s
